,SampleID,TM_BAM,ichorCNA
193,K0261,/mnt/BACKUP_NAS05/ECDTM_repository/align/8-K0261CT19T_M564-M764.deduplicated.bam,0.0
194,K0270,/mnt/BACKUP_NAS05/ECDTM_repository/align/41-K0270CT20T_M561-M761.deduplicated.bam,0.0
195,K0271,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0271CT20T_M562-M762.deduplicated.bam,0.04933
196,K0272,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0272.deduplicated.bam,0.05961
197,K0273,/mnt/BACKUP_NAS05/ECDTM_repository/align/49-K0273CT21T_M564-M764.deduplicated.bam,0.0
198,K0274,/mnt/BACKUP_NAS05/ECDTM_repository/align/50-K0274CT21T_M565-M765.deduplicated.bam,0.02539
199,K0275,/mnt/BACKUP_NAS05/ECDTM_repository/align/51-K0275CT21T_M566-M766.deduplicated.bam,0.01728
200,K0277,/mnt/BACKUP_NAS05/ECDTM_repository/align/52-K0277CT21T_M573-M773.deduplicated.bam,0.02259
201,K0278,/mnt/BACKUP_NAS05/ECDTM_repository/align/53-K0278CT21T_M574-M774.deduplicated.bam,0.03498
202,K0279,/mnt/BACKUP_NAS05/ECDTM_repository/align/54-K0279CT21T_M575-M775.deduplicated.bam,0.02545
203,K0282,/mnt/BACKUP_NAS05/ECDTM_repository/align/55-K0282CT21T_M578-M778.deduplicated.bam,0.0348
204,K0283,/mnt/BACKUP_NAS05/ECDTM_repository/align/14-K0283CT26T_M585-M785.deduplicated.bam,0.05583
205,K0284,/mnt/BACKUP_NAS05/ECDTM_repository/align/43-K0284KR1CT55T_M555-M755.deduplicated.bam,0.06677
206,K0285,/mnt/BACKUP_NAS05/ECDTM_repository/align/56-K0285CT21T_M582-M782.deduplicated.bam,0.0173
207,K0286,/mnt/BACKUP_NAS05/ECDTM_repository/align/16-K0286CT26T_M583-M783.deduplicated.bam,0.05699
208,K0287,/mnt/BACKUP_NAS05/ECDTM_repository/align/57-K0287CT21T_M584-M784.deduplicated.bam,0.03121
209,K0288,/mnt/BACKUP_NAS05/ECDTM_repository/align/58-K0288CT21T_M579-M779.deduplicated.bam,0.02426
210,K0289,/mnt/BACKUP_NAS05/ECDTM_repository/align/59-K0289CT21T_M586-M786.deduplicated.bam,0.03369
211,K0291,/mnt/BACKUP_NAS05/ECDTM_repository/align/60-K0291CT21T_M589-M789.deduplicated.bam,0.0
212,K0292,/mnt/BACKUP_NAS05/ECDTM_repo/ecdtm_research/align/17-K0292CT26T_M590-M790.deduplicated.bam,0.06901
213,K0293,/mnt/BACKUP_NAS05/ECDTM_repository/align/61-K0293CT21T_M591-M791.deduplicated.bam,0.0282
214,K0294,/mnt/BACKUP_NAS05/ECDTM_repository/align/62-K0294CT21T_M592-M792.deduplicated.bam,0.04126
215,K0296,/mnt/BACKUP_NAS05/ECDTM_repository/align/18-K0296CT26T_M594-M794.deduplicated.bam,0.0
216,K0303,/mnt/BACKUP_NAS05/ECDTM_repo/ecdtm_research/align/4-K0303CT22T_M553-M753.deduplicated.bam,0.08017
217,K0304,/mnt/BACKUP_NAS05/ECDTM_repository/align/5-K0304CT22T_M554-M754.deduplicated.bam,0.07954
218,K0308,/mnt/BACKUP_NAS05/ECDTM_repository/align/8-K0308CT22T_M558-M758.deduplicated.bam,0.08307
219,K0311,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0311CT22T_M561-M761.deduplicated.bam,0.0
